"","Sig1","Sig2","Sig3","Sig4","Sig5","Sig6"
"SBS2",0.766,0.02,0.007,0.111,0.061,0.503
"SBS3",0.265,0.865,0.405,0.134,0.148,0.407
"SBS6",0.075,0.074,0.806,0.203,0.764,0.455
"SBS10b",0.217,0.042,0.128,0.822,0.25,0.225
"SBS1",0.04,0.06,0.649,0.225,0.95,0.131
"SBS30",0.388,0.188,0.236,0.101,0.16,0.903
"SBS4",0.09,0.659,0.245,0.216,0.114,0.149
"SBS5",0.299,0.553,0.577,0.24,0.321,0.585
"SBS7a",0.589,0.125,0.045,0.187,0.159,0.645
"SBS7b",0.239,0.21,0.107,0.185,0.168,0.751
"SBS7c",0.074,0.229,0.103,0.036,0.06,0.08
"SBS7d",0.06,0.14,0.234,0.046,0.058,0.153
"SBS8",0.065,0.704,0.213,0.193,0.146,0.115
"SBS9",0.079,0.409,0.294,0.225,0.137,0.166
"SBS10a",0.024,0.04,0.037,0.693,0.025,0.028
"SBS11",0.213,0.134,0.232,0.083,0.088,0.804
"SBS12",0.041,0.232,0.473,0.036,0.094,0.065
"SBS13",0.644,0.336,0.011,0.068,0.015,0.019
"SBS14",0.015,0.195,0.321,0.355,0.102,0.067
"SBS15",0.082,0.099,0.755,0.149,0.582,0.324
"SBS16",0.1,0.27,0.235,0.059,0.132,0.104
"SBS17a",0.006,0.173,0.193,0.007,0.009,0.007
"SBS17b",0.002,0.137,0.039,0.046,0.017,0.002
"SBS18",0.109,0.485,0.21,0.475,0.22,0.139
"SBS19",0.185,0.207,0.191,0.063,0.059,0.799
"SBS20",0.035,0.201,0.51,0.062,0.116,0.228
"SBS21",0.012,0.095,0.457,0.03,0.055,0.047
"SBS22",0.014,0.3,0.066,0.006,0.052,0.018
"SBS23",0.094,0.154,0.322,0.059,0.092,0.776
"SBS24",0.077,0.553,0.293,0.153,0.197,0.214
"SBS25",0.207,0.571,0.442,0.253,0.287,0.299
"SBS26",0.026,0.183,0.562,0.044,0.12,0.051
"SBS27",0.06,0.147,0.098,0.041,0.059,0.105
"SBS28",0.012,0.122,0.025,0.105,0.022,0.017
"SBS29",0.071,0.585,0.257,0.241,0.264,0.092
"SBS31",0.094,0.385,0.205,0.076,0.118,0.593
"SBS32",0.195,0.216,0.315,0.129,0.185,0.744
"SBS33",0.077,0.081,0.297,0.046,0.056,0.051
"SBS34",0.008,0.12,0.083,0.01,0.069,0.018
"SBS35",0.117,0.587,0.243,0.103,0.091,0.295
"SBS36",0.11,0.352,0.132,0.561,0.112,0.075
"SBS37",0.047,0.339,0.392,0.075,0.129,0.087
"SBS38",0.035,0.326,0.194,0.082,0.035,0.038
"SBS39",0.36,0.806,0.247,0.099,0.151,0.171
"SBS40",0.439,0.753,0.341,0.255,0.159,0.53
"SBS41",0.234,0.348,0.255,0.12,0.146,0.146
"SBS42",0.086,0.324,0.452,0.16,0.088,0.6
"SBS43",0.005,0.261,0.092,0.011,0.02,0.009
"SBS44",0.03,0.162,0.728,0.12,0.213,0.45
"SBS45",0.042,0.357,0.226,0.167,0.043,0.021
"SBS46",0.114,0.328,0.48,0.063,0.115,0.205
"SBS47",0.145,0.27,0.084,0.058,0.084,0.2
"SBS48",0.025,0.083,0.01,0.026,0.044,0.001
"SBS49",0.01,0.206,0.075,0.026,0.022,0.004
"SBS50",0.236,0.461,0.113,0.094,0.176,0.348
"SBS51",0.098,0.374,0.164,0.07,0.142,0.178
"SBS52",0.094,0.237,0.042,0.19,0.061,0.017
"SBS53",0.042,0.367,0.142,0.042,0.069,0.082
"SBS54",0.01,0.121,0.465,0.029,0.143,0.037
"SBS55",0.044,0.208,0.071,0.044,0.043,0.07
"SBS56",0.042,0.131,0.069,0.641,0.041,0.011
"SBS57",0.122,0.275,0.223,0.123,0.133,0.254
"SBS58",0.309,0.281,0.199,0.147,0.114,0.517
"SBS59",0.007,0.275,0.047,0.03,0.058,0.015
"SBS60",0.004,0.11,0.02,0.01,0.013,0.01
"SBS84",0.058,0.223,0.392,0.067,0.05,0.628
"SBS85",0.089,0.274,0.205,0.052,0.088,0.107
"SBS86",0.395,0.584,0.138,0.095,0.137,0.104
"SBS87",0.09,0.251,0.5,0.231,0.796,0.192
"SBS88",0.013,0.242,0.177,0.104,0.153,0.03
"SBS89",0.281,0.731,0.294,0.165,0.147,0.364
"SBS90",0.009,0.142,0.035,0.011,0.028,0.008
