"","Sig1","Sig2","Sig3","Sig4","Sig5","Sig6"
"SBS13",0.724,0.013,0.029,0.074,0.164,0.007
"SBS6",0.089,0.917,0.147,0.164,0.147,0.707
"SBS2",0.68,0.093,0.941,0.06,0.004,0.017
"SBS10a",0.046,0.083,0.043,0.826,0.039,0.015
"SBS3",0.284,0.227,0.145,0.204,0.861,0.08
"SBS1",0.056,0.78,0.109,0.17,0.028,0.958
"SBS4",0.09,0.144,0.087,0.242,0.652,0.062
"SBS5",0.302,0.415,0.331,0.279,0.686,0.209
"SBS7a",0.546,0.192,0.792,0.122,0.102,0.042
"SBS7b",0.238,0.254,0.418,0.124,0.322,0.073
"SBS7c",0.073,0.05,0.064,0.074,0.256,0.031
"SBS7d",0.056,0.091,0.087,0.089,0.22,0.022
"SBS8",0.064,0.124,0.073,0.234,0.689,0.073
"SBS9",0.083,0.161,0.081,0.424,0.437,0.084
"SBS10b",0.244,0.324,0.495,0.605,0.026,0.191
"SBS11",0.203,0.288,0.346,0.068,0.24,0.027
"SBS12",0.04,0.121,0.045,0.095,0.376,0.037
"SBS14",0.028,0.219,0.029,0.415,0.152,0.088
"SBS15",0.088,0.88,0.106,0.164,0.127,0.436
"SBS16",0.099,0.082,0.071,0.1,0.34,0.047
"SBS17a",0.008,0.037,0.007,0.026,0.202,0.012
"SBS17b",0.003,0.019,0.003,0.179,0.088,0.004
"SBS18",0.115,0.226,0.126,0.534,0.491,0.148
"SBS19",0.178,0.245,0.264,0.051,0.428,0.044
"SBS20",0.037,0.308,0.048,0.064,0.26,0.112
"SBS21",0.012,0.164,0.014,0.085,0.172,0.038
"SBS22",0.015,0.017,0.012,0.016,0.286,0.027
"SBS23",0.098,0.339,0.155,0.049,0.369,0.062
"SBS24",0.08,0.271,0.079,0.183,0.573,0.088
"SBS25",0.219,0.306,0.186,0.289,0.616,0.234
"SBS26",0.027,0.174,0.03,0.112,0.336,0.064
"SBS27",0.057,0.074,0.071,0.045,0.171,0.047
"SBS28",0.011,0.016,0.015,0.398,0.05,0.016
"SBS29",0.072,0.246,0.092,0.252,0.571,0.179
"SBS30",0.363,0.302,0.531,0.082,0.362,0.093
"SBS31",0.099,0.212,0.152,0.08,0.581,0.068
"SBS32",0.185,0.329,0.294,0.118,0.366,0.168
"SBS33",0.079,0.113,0.05,0.069,0.165,0.066
"SBS34",0.009,0.045,0.009,0.017,0.136,0.051
"SBS35",0.126,0.186,0.081,0.122,0.598,0.04
"SBS36",0.114,0.138,0.106,0.639,0.34,0.059
"SBS37",0.048,0.137,0.055,0.192,0.425,0.069
"SBS38",0.035,0.101,0.035,0.086,0.276,0.047
"SBS39",0.401,0.162,0.08,0.146,0.636,0.11
"SBS40",0.434,0.227,0.377,0.365,0.775,0.063
"SBS41",0.248,0.17,0.104,0.272,0.343,0.101
"SBS42",0.092,0.359,0.127,0.18,0.423,0.034
"SBS43",0.005,0.025,0.008,0.073,0.219,0.018
"SBS44",0.039,0.517,0.041,0.16,0.331,0.178
"SBS45",0.042,0.112,0.035,0.177,0.313,0.05
"SBS46",0.11,0.181,0.128,0.12,0.46,0.077
"SBS47",0.128,0.07,0.216,0.08,0.265,0.049
"SBS48",0.025,0.003,0.023,0.027,0.097,0.024
"SBS49",0.009,0.031,0.013,0.024,0.228,0.019
"SBS50",0.216,0.148,0.345,0.107,0.445,0.07
"SBS51",0.089,0.123,0.134,0.079,0.399,0.107
"SBS52",0.072,0.031,0.072,0.19,0.249,0.034
"SBS53",0.044,0.088,0.049,0.039,0.338,0.076
"SBS54",0.014,0.174,0.01,0.053,0.244,0.105
"SBS55",0.043,0.057,0.058,0.103,0.145,0.032
"SBS56",0.052,0.079,0.044,0.762,0.133,0.024
"SBS57",0.118,0.154,0.141,0.273,0.344,0.093
"SBS58",0.279,0.186,0.427,0.167,0.369,0.071
"SBS59",0.008,0.079,0.007,0.044,0.178,0.013
"SBS60",0.004,0.014,0.01,0.055,0.066,0.012
"SBS84",0.066,0.333,0.084,0.079,0.344,0.033
"SBS85",0.082,0.069,0.112,0.106,0.319,0.032
"SBS86",0.427,0.125,0.096,0.098,0.4,0.125
"SBS87",0.109,0.567,0.161,0.167,0.203,0.851
"SBS88",0.017,0.079,0.019,0.236,0.277,0.077
"SBS89",0.301,0.192,0.153,0.215,0.716,0.092
"SBS90",0.009,0.007,0.009,0.028,0.129,0.029
