"","Sig1","Sig2","Sig3"
"SBS6",0.849,0.098,0.05
"SBS9",0.292,0.763,0.078
"SBS2",0.118,0.149,0.874
"SBS1",0.739,0.016,0.004
"SBS3",0.501,0.595,0.268
"SBS4",0.395,0.281,0.1
"SBS5",0.654,0.574,0.31
"SBS7a",0.262,0.178,0.701
"SBS7b",0.361,0.213,0.303
"SBS7c",0.119,0.236,0.075
"SBS7d",0.182,0.174,0.07
"SBS8",0.362,0.32,0.076
"SBS10a",0.164,0.064,0.015
"SBS10b",0.349,0.15,0.135
"SBS11",0.356,0.205,0.283
"SBS12",0.28,0.416,0.043
"SBS13",0.07,0.105,0.438
"SBS14",0.338,0.122,0.015
"SBS15",0.73,0.102,0.072
"SBS16",0.239,0.268,0.086
"SBS17a",0.083,0.273,0.005
"SBS17b",0.01,0.664,0.018
"SBS18",0.444,0.205,0.089
"SBS19",0.355,0.225,0.222
"SBS20",0.431,0.194,0.037
"SBS21",0.266,0.207,0.012
"SBS22",0.072,0.27,0.023
"SBS23",0.431,0.189,0.116
"SBS24",0.434,0.221,0.086
"SBS25",0.493,0.519,0.203
"SBS26",0.314,0.45,0.024
"SBS27",0.13,0.116,0.073
"SBS28",0.025,0.591,0.015
"SBS29",0.453,0.166,0.069
"SBS30",0.441,0.254,0.469
"SBS31",0.381,0.312,0.119
"SBS32",0.442,0.24,0.231
"SBS33",0.187,0.196,0.067
"SBS34",0.076,0.092,0.008
"SBS35",0.36,0.323,0.118
"SBS36",0.322,0.156,0.077
"SBS37",0.282,0.513,0.062
"SBS38",0.237,0.135,0.035
"SBS39",0.338,0.416,0.317
"SBS40",0.503,0.658,0.445
"SBS41",0.24,0.551,0.19
"SBS42",0.485,0.272,0.112
"SBS43",0.079,0.194,0.019
"SBS44",0.596,0.276,0.021
"SBS45",0.278,0.133,0.035
"SBS46",0.353,0.446,0.119
"SBS47",0.144,0.211,0.179
"SBS48",0.039,0.015,0.03
"SBS49",0.104,0.061,0.036
"SBS50",0.272,0.209,0.318
"SBS51",0.243,0.229,0.099
"SBS52",0.152,0.092,0.022
"SBS53",0.218,0.167,0.047
"SBS54",0.267,0.338,0.009
"SBS55",0.096,0.181,0.062
"SBS56",0.205,0.109,0.005
"SBS57",0.252,0.439,0.13
"SBS58",0.278,0.326,0.36
"SBS59",0.142,0.089,0.011
"SBS60",0.031,0.056,0.02
"SBS84",0.408,0.183,0.066
"SBS85",0.188,0.267,0.101
"SBS86",0.238,0.209,0.303
"SBS87",0.665,0.135,0.053
"SBS88",0.216,0.324,0.006
"SBS89",0.422,0.464,0.267
"SBS90",0.032,0.164,0.011
