"","Sig1","Sig2","Sig3","Sig4","Sig5","Sig6","Sig7","Sig8","Sig9"
"SBS1",0.976,0.36,0.12,0.404,0.347,0.038,0.015,0.018,0
"SBS15",0.601,0.933,0.14,0.247,0.379,0.194,0.105,0.071,0.008
"SBS10a",0.02,0.078,0.899,0.023,0.021,0.027,0.062,0.029,0.003
"SBS26",0.061,0.117,0.086,0.767,0.089,0.128,0.047,0.15,0.04
"SBS10b",0.212,0.071,0.557,0.043,0.916,0.174,0.016,0.035,0.014
"SBS30",0.125,0.239,0.089,0.187,0.154,0.892,0.212,0.069,0.001
"SBS29",0.161,0.267,0.27,0.228,0.106,0.107,0.779,0.352,0.005
"SBS39",0.1,0.141,0.126,0.274,0.082,0.24,0.278,0.777,0.045
"SBS17b",0.003,0.011,0.122,0.127,0.017,0.006,0.006,0.034,0.965
"SBS2",0.031,0.004,0.081,0.015,0.142,0.641,0.04,0.106,0
"SBS3",0.061,0.262,0.194,0.464,0.085,0.48,0.461,0.721,0.071
"SBS4",0.031,0.246,0.275,0.287,0.024,0.205,0.592,0.461,0.007
"SBS5",0.217,0.336,0.263,0.621,0.248,0.591,0.376,0.418,0.059
"SBS6",0.8,0.766,0.135,0.407,0.403,0.253,0.062,0.037,0.005
"SBS7a",0.063,0.051,0.124,0.042,0.253,0.821,0.095,0.079,0.001
"SBS7b",0.095,0.098,0.129,0.101,0.248,0.782,0.222,0.042,0.001
"SBS7c",0.026,0.033,0.066,0.113,0.014,0.195,0.059,0.32,0.016
"SBS7d",0.018,0.056,0.082,0.26,0.077,0.183,0.096,0.143,0.006
"SBS8",0.037,0.176,0.255,0.238,0.023,0.244,0.556,0.535,0.006
"SBS9",0.077,0.13,0.364,0.374,0.089,0.227,0.195,0.337,0.373
"SBS11",0.044,0.297,0.092,0.13,0.143,0.755,0.172,0.034,0.001
"SBS12",0.023,0.078,0.08,0.647,0.066,0.159,0.089,0.198,0.002
"SBS13",0.005,0.012,0.085,0.01,0.005,0.07,0.084,0.695,0
"SBS14",0.077,0.314,0.464,0.356,0.029,0.053,0.2,0.106,0.005
"SBS16",0.027,0.051,0.089,0.308,0.044,0.182,0.166,0.223,0.011
"SBS17a",0.018,0.022,0.019,0.278,0.006,0.061,0.013,0.189,0.015
"SBS18",0.131,0.224,0.582,0.194,0.09,0.163,0.731,0.27,0.02
"SBS19",0.065,0.239,0.068,0.149,0.099,0.56,0.319,0.102,0.006
"SBS20",0.114,0.499,0.081,0.491,0.072,0.175,0.111,0.139,0.02
"SBS21",0.034,0.12,0.07,0.575,0.102,0.099,0.038,0.085,0.003
"SBS22",0.008,0.019,0.011,0.071,0.006,0.194,0.024,0.287,0.004
