"","Sig1","Sig2"
"SBS6",0.879,0.099
"SBS2",0.114,0.897
"SBS1",0.716,0.073
"SBS3",0.519,0.246
"SBS4",0.292,0.093
"SBS5",0.646,0.353
"SBS7a",0.251,0.719
"SBS7b",0.386,0.325
"SBS7c",0.134,0.105
"SBS7d",0.174,0.133
"SBS8",0.298,0.102
"SBS9",0.392,0.125
"SBS10a",0.13,0.026
"SBS10b",0.286,0.419
"SBS11",0.439,0.275
"SBS12",0.224,0.099
"SBS13",0.082,0.278
"SBS14",0.222,0.024
"SBS15",0.755,0.097
"SBS16",0.186,0.092
"SBS17a",0.151,0.006
"SBS17b",0.145,0.004
"SBS18",0.35,0.117
"SBS19",0.473,0.202
"SBS20",0.332,0.045
"SBS21",0.173,0.119
"SBS22",0.116,0.066
"SBS23",0.53,0.1
"SBS24",0.399,0.071
"SBS25",0.505,0.262
"SBS26",0.261,0.101
"SBS27",0.146,0.099
"SBS28",0.107,0.019
"SBS29",0.351,0.078
"SBS30",0.472,0.452
"SBS31",0.412,0.115
"SBS32",0.512,0.249
"SBS33",0.144,0.126
"SBS34",0.083,0.096
"SBS35",0.341,0.101
"SBS36",0.235,0.092
"SBS37",0.282,0.108
"SBS38",0.137,0.044
"SBS39",0.388,0.244
"SBS40",0.517,0.434
"SBS41",0.297,0.226
"SBS42",0.548,0.101
"SBS43",0.103,0.148
"SBS44",0.597,0.05
"SBS45",0.146,0.037
"SBS46",0.341,0.158
"SBS47",0.177,0.266
"SBS48",0.028,0.036
"SBS49",0.06,0.011
"SBS50",0.281,0.323
"SBS51",0.241,0.194
"SBS52",0.109,0.066
"SBS53",0.173,0.06
"SBS54",0.23,0.051
"SBS55",0.098,0.199
"SBS56",0.144,0.031
"SBS57",0.294,0.139
"SBS58",0.317,0.403
"SBS59",0.111,0.007
"SBS60",0.026,0.163
"SBS84",0.578,0.063
"SBS85",0.189,0.182
"SBS86",0.268,0.251
"SBS87",0.629,0.122
"SBS88",0.181,0.043
"SBS89",0.421,0.289
"SBS90",0.056,0.087
