"","Sig1","Sig2","Sig3","Sig4","Sig5","Sig6"
"SBS6",0.916,0.649,0.077,0.176,0.029,0.053
"SBS87",0.694,0.687,0.104,0.146,0.058,0.128
"SBS13",0.012,0.062,0.749,0.188,0.009,0.103
"SBS16",0.072,0.129,0.126,0.861,0.06,0.1
"SBS17b",0.005,0.016,0.004,0.032,0.922,0.011
"SBS18",0.221,0.399,0.125,0.157,0.055,0.873
"SBS1",0.898,0.664,0.044,0.021,0.011,0.012
"SBS2",0.049,0.384,0.648,0.055,0.002,0.005
"SBS3",0.211,0.429,0.312,0.668,0.225,0.465
"SBS4",0.157,0.293,0.1,0.262,0.049,0.871
"SBS5",0.38,0.57,0.324,0.801,0.192,0.277
"SBS7a",0.108,0.546,0.513,0.099,0.007,0.025
"SBS7b",0.167,0.621,0.238,0.158,0.019,0.057
"SBS7c",0.05,0.131,0.076,0.227,0.144,0.051
"SBS7d",0.079,0.127,0.068,0.272,0.093,0.047
"SBS8",0.13,0.301,0.083,0.423,0.1,0.618
"SBS9",0.152,0.258,0.103,0.482,0.545,0.199
"SBS10a",0.059,0.154,0.059,0.025,0.014,0.452
"SBS10b",0.269,0.391,0.264,0.085,0.058,0.103
"SBS11",0.186,0.473,0.203,0.224,0.011,0.04
"SBS12",0.133,0.104,0.062,0.621,0.16,0.067
"SBS14",0.219,0.17,0.032,0.144,0.024,0.478
"SBS15",0.802,0.465,0.075,0.157,0.028,0.14
"SBS17a",0.038,0.066,0.018,0.252,0.422,0.011
"SBS19",0.165,0.501,0.18,0.234,0.027,0.07
"SBS20",0.32,0.171,0.037,0.186,0.052,0.416
"SBS21",0.163,0.059,0.021,0.242,0.067,0.057
"SBS22",0.026,0.082,0.029,0.296,0.055,0.068
"SBS23",0.257,0.455,0.1,0.238,0.015,0.06
"SBS24",0.241,0.303,0.084,0.304,0.072,0.651
"SBS25",0.32,0.438,0.244,0.546,0.185,0.335
"SBS26",0.188,0.098,0.049,0.599,0.209,0.051
"SBS27",0.072,0.111,0.06,0.174,0.022,0.073
"SBS28",0.017,0.056,0.013,0.085,0.352,0.029
"SBS29",0.255,0.359,0.078,0.2,0.039,0.794
"SBS30",0.237,0.627,0.345,0.193,0.029,0.062
"SBS31",0.171,0.502,0.113,0.325,0.074,0.184
"SBS32",0.282,0.503,0.187,0.248,0.032,0.121
"SBS33",0.115,0.068,0.091,0.197,0.038,0.068
"SBS34",0.06,0.072,0.009,0.179,0.015,0.019
"SBS35",0.167,0.329,0.144,0.335,0.091,0.423
"SBS36",0.127,0.286,0.128,0.119,0.025,0.795
"SBS37",0.145,0.171,0.073,0.657,0.249,0.075
"SBS38",0.125,0.105,0.034,0.046,0.028,0.609
"SBS39",0.164,0.285,0.436,0.527,0.146,0.288
"SBS40",0.192,0.527,0.452,0.626,0.266,0.517
"SBS41",0.172,0.23,0.26,0.41,0.194,0.074
"SBS42",0.282,0.328,0.092,0.4,0.056,0.314
"SBS43",0.027,0.085,0.013,0.133,0.136,0.077
"SBS44",0.487,0.266,0.045,0.392,0.072,0.232
"SBS45",0.142,0.112,0.042,0.052,0.01,0.753
"SBS46",0.183,0.246,0.124,0.482,0.299,0.146
"SBS47",0.059,0.226,0.136,0.247,0.104,0.142
"SBS48",0.008,0.062,0.023,0.007,0.001,0.214
"SBS49",0.057,0.044,0.008,0.014,0.002,0.423
"SBS50",0.102,0.424,0.219,0.229,0.069,0.228
"SBS51",0.124,0.271,0.101,0.287,0.086,0.215
"SBS52",0.04,0.16,0.091,0.039,0.013,0.482
"SBS53",0.113,0.143,0.045,0.11,0.032,0.495
"SBS54",0.2,0.092,0.031,0.339,0.098,0.068
"SBS55",0.055,0.114,0.055,0.117,0.045,0.049
"SBS56",0.068,0.179,0.072,0.067,0.02,0.548
"SBS57",0.148,0.278,0.129,0.345,0.18,0.108
"SBS58",0.138,0.411,0.307,0.501,0.106,0.133
"SBS59",0.056,0.113,0.01,0.146,0.058,0.234
"SBS60",0.016,0.048,0.005,0.031,0.035,0.025
"SBS84",0.247,0.281,0.073,0.355,0.038,0.096
"SBS85",0.066,0.14,0.099,0.514,0.105,0.044
"SBS86",0.138,0.201,0.453,0.35,0.051,0.143
"SBS88",0.082,0.119,0.034,0.651,0.104,0.046
"SBS89",0.185,0.396,0.327,0.53,0.123,0.441
"SBS90",0.02,0.048,0.015,0.154,0.074,0.013
