"","Sig1","Sig2","Sig3","Sig4","Sig5","Sig6"
"SBS2",0.731,0.008,0.355,0.009,0.136,0.002
"SBS4",0.099,0.925,0.136,0.166,0.087,0.28
"SBS7b",0.246,0.191,0.981,0.086,0.147,0.069
"SBS6",0.109,0.195,0.207,0.745,0.842,0.165
"SBS1",0.079,0.088,0.093,0.571,0.941,0.069
"SBS16",0.104,0.206,0.074,0.193,0.043,0.836
"SBS3",0.279,0.723,0.332,0.378,0.128,0.613
"SBS5",0.316,0.51,0.431,0.565,0.309,0.732
"SBS7a",0.573,0.063,0.818,0.044,0.146,0.026
"SBS7c",0.073,0.139,0.096,0.103,0.041,0.214
"SBS7d",0.062,0.098,0.107,0.358,0.037,0.17
"SBS8",0.074,0.753,0.085,0.175,0.098,0.476
"SBS9",0.089,0.288,0.139,0.295,0.129,0.503
"SBS10a",0.06,0.226,0.021,0.049,0.074,0.149
"SBS10b",0.294,0.063,0.276,0.164,0.372,0.065
"SBS11",0.214,0.173,0.746,0.22,0.099,0.166
"SBS12",0.043,0.183,0.047,0.542,0.028,0.538
"SBS13",0.671,0.085,0.023,0.011,0.019,0.123
"SBS14",0.039,0.453,0.028,0.226,0.115,0.178
"SBS15",0.1,0.211,0.134,0.72,0.662,0.133
"SBS17a",0.009,0.099,0.013,0.154,0.012,0.326
"SBS17b",0.004,0.035,0.006,0.019,0.03,0.11
"SBS18",0.132,0.699,0.121,0.182,0.235,0.271
"SBS19",0.181,0.278,0.608,0.173,0.143,0.157
"SBS20",0.042,0.5,0.107,0.369,0.139,0.158
"SBS21",0.014,0.091,0.033,0.637,0.039,0.126
"SBS22",0.015,0.287,0.024,0.055,0.013,0.287
"SBS23",0.095,0.252,0.656,0.294,0.146,0.161
"SBS24",0.088,0.703,0.127,0.275,0.183,0.306
"SBS25",0.229,0.577,0.206,0.429,0.277,0.532
"SBS26",0.029,0.173,0.042,0.616,0.059,0.505
"SBS27",0.061,0.154,0.073,0.086,0.061,0.15
"SBS28",0.013,0.042,0.017,0.022,0.037,0.11
"SBS29",0.088,0.761,0.059,0.21,0.247,0.249
"SBS30",0.377,0.238,0.797,0.202,0.209,0.147
"SBS31",0.096,0.412,0.677,0.153,0.113,0.265
"SBS32",0.202,0.297,0.403,0.316,0.255,0.267
"SBS33",0.081,0.108,0.036,0.339,0.048,0.112
"SBS34",0.01,0.073,0.021,0.058,0.038,0.217
"SBS35",0.125,0.644,0.364,0.156,0.066,0.303
"SBS36",0.129,0.581,0.07,0.109,0.132,0.243
"SBS37",0.053,0.194,0.067,0.437,0.085,0.609
"SBS38",0.04,0.59,0.042,0.115,0.034,0.051
"SBS39",0.384,0.471,0.121,0.24,0.149,0.44
"SBS40",0.443,0.67,0.42,0.311,0.16,0.609
"SBS41",0.244,0.181,0.11,0.26,0.139,0.365
"SBS42",0.095,0.463,0.396,0.43,0.126,0.326
"SBS43",0.007,0.122,0.017,0.083,0.028,0.146
"SBS44",0.046,0.391,0.099,0.659,0.29,0.338
"SBS45",0.049,0.696,0.023,0.13,0.04,0.075
"SBS46",0.115,0.277,0.169,0.524,0.101,0.436
"SBS47",0.145,0.209,0.2,0.072,0.057,0.216
"SBS48",0.025,0.187,0.004,0.01,0.03,0.016
"SBS49",0.01,0.448,0.007,0.049,0.012,0.016
"SBS50",0.235,0.354,0.418,0.105,0.118,0.171
"SBS51",0.103,0.326,0.106,0.152,0.132,0.277
"SBS52",0.078,0.345,0.019,0.046,0.062,0.121
"SBS53",0.047,0.533,0.072,0.117,0.067,0.091
"SBS54",0.015,0.192,0.029,0.43,0.092,0.257
"SBS55",0.048,0.11,0.059,0.065,0.052,0.11
"SBS56",0.066,0.328,0.013,0.062,0.076,0.207
"SBS57",0.126,0.212,0.193,0.248,0.128,0.293
"SBS58",0.316,0.257,0.313,0.178,0.154,0.409
"SBS59",0.012,0.244,0.009,0.046,0.054,0.141
"SBS60",0.006,0.045,0.019,0.016,0.019,0.027
"SBS84",0.068,0.262,0.299,0.39,0.134,0.286
"SBS85",0.091,0.141,0.084,0.269,0.032,0.451
"SBS86",0.414,0.244,0.087,0.135,0.151,0.249
"SBS87",0.131,0.26,0.198,0.444,0.772,0.154
"SBS88",0.021,0.116,0.022,0.199,0.072,0.64
"SBS89",0.297,0.671,0.217,0.26,0.149,0.496
"SBS90",0.01,0.09,0.017,0.023,0.009,0.159
