"","Sig1","Sig2"
"SBS1",0.967,0.028
"SBS40",0.085,0.912
"SBS2",0.048,0.329
"SBS3",0.095,0.832
"SBS4",0.053,0.624
"SBS5",0.263,0.77
"SBS6",0.856,0.21
"SBS7a",0.095,0.445
"SBS7b",0.113,0.505
"SBS7c",0.025,0.242
"SBS7d",0.029,0.254
"SBS8",0.058,0.679
"SBS9",0.095,0.478
"SBS10a",0.028,0.225
"SBS10b",0.278,0.17
"SBS11",0.098,0.516
"SBS12",0.053,0.325
"SBS13",0.009,0.281
"SBS14",0.111,0.297
"SBS15",0.721,0.2
"SBS16",0.039,0.342
"SBS17a",0.019,0.123
"SBS17b",0.008,0.136
"SBS18",0.152,0.587
"SBS19",0.081,0.463
"SBS20",0.164,0.302
"SBS21",0.082,0.163
"SBS22",0.01,0.253
"SBS23",0.136,0.446
"SBS24",0.149,0.556
"SBS25",0.249,0.641
"SBS26",0.103,0.276
"SBS27",0.053,0.182
"SBS28",0.015,0.114
"SBS29",0.189,0.563
"SBS30",0.152,0.583
"SBS31",0.082,0.524
"SBS32",0.213,0.547
"SBS33",0.055,0.149
"SBS34",0.039,0.156
"SBS35",0.06,0.558
"SBS36",0.064,0.494
"SBS37",0.085,0.388
"SBS38",0.045,0.238
"SBS39",0.115,0.59
"SBS41",0.118,0.387
"SBS42",0.128,0.555
"SBS43",0.018,0.179
"SBS44",0.311,0.389
"SBS45",0.045,0.298
"SBS46",0.097,0.432
"SBS47",0.034,0.384
"SBS48",0.008,0.102
"SBS49",0.018,0.134
"SBS50",0.088,0.608
"SBS51",0.095,0.466
"SBS52",0.023,0.323
"SBS53",0.064,0.239
"SBS54",0.125,0.171
"SBS55",0.043,0.152
"SBS56",0.026,0.319
"SBS57",0.104,0.392
"SBS58",0.092,0.555
"SBS59",0.024,0.218
"SBS60",0.018,0.048
"SBS84",0.122,0.447
"SBS85",0.025,0.379
"SBS86",0.125,0.392
"SBS87",0.723,0.179
"SBS88",0.064,0.305
"SBS89",0.102,0.737
"SBS90",0.004,0.121
