"","Sig1","Sig2","Sig3","Sig4","Sig5"
"SBS4",0.975,0.105,0.286,0.044,0.006
"SBS2",0.093,0.775,0.093,0.033,0
"SBS5",0.453,0.325,0.875,0.276,0.056
"SBS1",0.077,0.039,0.026,0.931,0
"SBS17b",0.009,0.004,0.058,0.003,0.947
"SBS3",0.674,0.286,0.769,0.105,0.06
"SBS6",0.158,0.08,0.285,0.892,0.004
"SBS7a",0.155,0.612,0.305,0.11,0
"SBS7b",0.225,0.271,0.508,0.15,0
"SBS7c",0.119,0.077,0.237,0.025,0.011
"SBS7d",0.101,0.068,0.347,0.05,0
"SBS8",0.768,0.082,0.375,0.053,0.004
"SBS9",0.239,0.095,0.54,0.093,0.353
"SBS10a",0.256,0.059,0.104,0.026,0.002
"SBS10b",0.104,0.25,0.13,0.298,0.011
"SBS11",0.181,0.237,0.492,0.163,0
"SBS12",0.142,0.051,0.672,0.022,0.002
"SBS13",0.135,0.631,0.031,0.007,0
"SBS14",0.523,0.033,0.162,0.083,0.003
"SBS15",0.209,0.084,0.235,0.749,0.007
"SBS16",0.178,0.107,0.463,0.026,0.009
"SBS17a",0.063,0.007,0.325,0.007,0.011
"SBS18",0.729,0.136,0.227,0.16,0.018
"SBS19",0.227,0.211,0.542,0.118,0.006
"SBS20",0.552,0.04,0.26,0.153,0.017
"SBS21",0.097,0.018,0.479,0.06,0.001
"SBS22",0.239,0.017,0.239,0.009,0.004
"SBS23",0.211,0.113,0.551,0.21,0.001
"SBS24",0.714,0.091,0.334,0.176,0.023
"SBS25",0.522,0.227,0.616,0.24,0.062
"SBS26",0.131,0.034,0.683,0.063,0.034
"SBS27",0.136,0.064,0.182,0.056,0.004
"SBS28",0.024,0.016,0.138,0.015,0.199
"SBS29",0.797,0.088,0.204,0.189,0.003
"SBS30",0.237,0.412,0.538,0.202,0.001
"SBS31",0.383,0.117,0.593,0.089,0.004
"SBS32",0.257,0.216,0.468,0.247,0.003
"SBS33",0.089,0.081,0.365,0.036,0
"SBS34",0.064,0.011,0.11,0.04,0
"SBS35",0.673,0.131,0.414,0.058,0.014
"SBS36",0.632,0.136,0.166,0.058,0.004
"SBS37",0.143,0.056,0.629,0.071,0.023
"SBS38",0.64,0.04,0.055,0.025,0.016
"SBS39",0.398,0.369,0.49,0.117,0.035
"SBS40",0.658,0.464,0.721,0.093,0.106
"SBS41",0.154,0.241,0.402,0.119,0.054
"SBS42",0.461,0.103,0.563,0.21,0.016
"SBS43",0.089,0.01,0.195,0.014,0
"SBS44",0.355,0.043,0.549,0.332,0.002
"SBS45",0.782,0.047,0.049,0.021,0.002
"SBS46",0.247,0.124,0.674,0.089,0.01
"SBS47",0.22,0.158,0.243,0.032,0
"SBS48",0.166,0.022,0.057,0.002,0
"SBS49",0.452,0.01,0.013,0.006,0
"SBS50",0.393,0.257,0.324,0.095,0.002
"SBS51",0.295,0.109,0.29,0.09,0.01
"SBS52",0.358,0.093,0.062,0.016,0.002
"SBS53",0.513,0.049,0.137,0.06,0.008
"SBS54",0.135,0.015,0.5,0.089,0.003
"SBS55",0.083,0.05,0.16,0.045,0.003
"SBS56",0.363,0.071,0.12,0.017,0
"SBS57",0.176,0.134,0.427,0.099,0.021
"SBS58",0.247,0.336,0.459,0.077,0.002
"SBS59",0.256,0.015,0.113,0.014,0.04
"SBS60",0.025,0.007,0.057,0.012,0
"SBS84",0.205,0.077,0.51,0.197,0
"SBS85",0.123,0.098,0.42,0.02,0.008
"SBS86",0.212,0.397,0.256,0.119,0.01
"SBS87",0.22,0.093,0.151,0.73,0.012
"SBS88",0.085,0.02,0.393,0.056,0
"SBS89",0.62,0.3,0.567,0.095,0.031
"SBS90",0.067,0.011,0.12,0.002,0.023
