"","Sig1","Sig2","Sig3","Sig4","Sig5"
"SBS4",0.974,0.323,0.098,0.13,0.09
"SBS5",0.426,0.834,0.31,0.426,0.289
"SBS13",0.146,0.099,0.725,0.015,0.01
"SBS7b",0.141,0.183,0.221,0.963,0.057
"SBS15",0.176,0.239,0.078,0.132,0.947
"SBS1",0.046,0.308,0.056,0.102,0.71
"SBS2",0.069,0.016,0.68,0.393,0.029
"SBS3",0.667,0.727,0.292,0.314,0.149
"SBS6",0.123,0.41,0.084,0.201,0.852
"SBS7a",0.078,0.066,0.532,0.86,0.046
"SBS7c",0.118,0.222,0.074,0.1,0.027
"SBS7d",0.099,0.306,0.057,0.098,0.059
"SBS8",0.777,0.4,0.075,0.082,0.094
"SBS9",0.234,0.526,0.092,0.137,0.122
"SBS10a",0.245,0.096,0.061,0.021,0.054
"SBS10b",0.08,0.072,0.251,0.342,0.16
"SBS11",0.125,0.217,0.189,0.721,0.134
"SBS12",0.137,0.66,0.049,0.049,0.109
"SBS14",0.495,0.197,0.038,0.03,0.148
"SBS16",0.172,0.5,0.109,0.073,0.059
"SBS17a",0.07,0.299,0.008,0.018,0.022
"SBS17b",0.016,0.109,0.005,0.007,0.012
"SBS18",0.737,0.29,0.127,0.122,0.162
"SBS19",0.186,0.298,0.177,0.56,0.119
"SBS20",0.522,0.249,0.037,0.105,0.25
"SBS21",0.091,0.432,0.017,0.032,0.152
"SBS22",0.239,0.29,0.02,0.025,0.025
"SBS23",0.162,0.286,0.09,0.606,0.213
"SBS24",0.729,0.359,0.083,0.12,0.239
"SBS25",0.514,0.682,0.231,0.203,0.237
"SBS26",0.123,0.693,0.037,0.046,0.151
"SBS27",0.143,0.155,0.06,0.07,0.069
"SBS28",0.025,0.11,0.015,0.021,0.013
"SBS29",0.815,0.295,0.081,0.06,0.196
"SBS30",0.175,0.301,0.353,0.786,0.141
"SBS31",0.335,0.331,0.098,0.634,0.076
"SBS32",0.238,0.37,0.185,0.384,0.197
"SBS33",0.084,0.372,0.084,0.037,0.1
"SBS34",0.06,0.131,0.009,0.019,0.059
"SBS35",0.647,0.296,0.13,0.342,0.105
"SBS36",0.632,0.212,0.13,0.071,0.086
"SBS37",0.143,0.601,0.057,0.07,0.117
"SBS38",0.643,0.061,0.034,0.043,0.071
"SBS39",0.412,0.58,0.409,0.114,0.124
"SBS40",0.648,0.65,0.443,0.415,0.127
"SBS41",0.15,0.404,0.253,0.11,0.156
"SBS42",0.434,0.409,0.088,0.366,0.273
"SBS43",0.088,0.214,0.008,0.009,0.032
"SBS44",0.336,0.524,0.041,0.091,0.477
"SBS45",0.774,0.081,0.045,0.025,0.078
"SBS46",0.236,0.627,0.116,0.169,0.137
"SBS47",0.218,0.176,0.127,0.199,0.047
"SBS48",0.168,0.089,0.033,0.003,0.003
"SBS49",0.456,0.054,0.008,0.009,0.022
"SBS50",0.375,0.203,0.212,0.426,0.074
"SBS51",0.31,0.322,0.092,0.099,0.084
"SBS52",0.37,0.114,0.085,0.02,0.021
"SBS53",0.527,0.171,0.043,0.068,0.063
"SBS54",0.126,0.584,0.022,0.026,0.142
"SBS55",0.077,0.19,0.045,0.05,0.05
"SBS56",0.356,0.138,0.07,0.014,0.045
"SBS57",0.168,0.37,0.122,0.192,0.1
"SBS58",0.246,0.375,0.283,0.299,0.09
"SBS59",0.257,0.149,0.012,0.008,0.05
"SBS60",0.02,0.093,0.004,0.011,0.014
"SBS84",0.187,0.38,0.064,0.278,0.266
"SBS85",0.123,0.391,0.086,0.084,0.064
"SBS86",0.223,0.356,0.434,0.085,0.1
"SBS87",0.201,0.487,0.11,0.193,0.366
"SBS88",0.079,0.4,0.024,0.029,0.077
"SBS89",0.622,0.598,0.311,0.206,0.118
"SBS90",0.078,0.109,0.012,0.016,0.014
