"","Sig1","Sig2"
"SBS40",0.84,0.05
"SBS1",0.079,0.948
"SBS2",0.411,0.024
"SBS3",0.791,0.062
"SBS4",0.466,0.04
"SBS5",0.819,0.217
"SBS6",0.361,0.829
"SBS7a",0.606,0.068
"SBS7b",0.673,0.106
"SBS7c",0.183,0.025
"SBS7d",0.23,0.015
"SBS8",0.443,0.039
"SBS9",0.388,0.078
"SBS10a",0.108,0.026
"SBS10b",0.255,0.227
"SBS11",0.656,0.054
"SBS12",0.306,0.014
"SBS13",0.217,0.01
"SBS14",0.197,0.094
"SBS15",0.289,0.678
"SBS16",0.306,0.019
"SBS17a",0.11,0.012
"SBS17b",0.081,0.002
"SBS18",0.394,0.137
"SBS19",0.649,0.065
"SBS20",0.312,0.144
"SBS21",0.196,0.038
"SBS22",0.159,0.008
"SBS23",0.659,0.105
"SBS24",0.49,0.119
"SBS25",0.547,0.211
"SBS26",0.292,0.054
"SBS27",0.158,0.048
"SBS28",0.088,0.013
"SBS29",0.385,0.168
"SBS30",0.784,0.12
"SBS31",0.633,0.077
"SBS32",0.608,0.157
"SBS33",0.164,0.033
"SBS34",0.077,0.037
"SBS35",0.519,0.051
"SBS36",0.3,0.052
"SBS37",0.323,0.062
"SBS38",0.185,0.036
"SBS39",0.564,0.103
"SBS41",0.318,0.113
"SBS42",0.664,0.073
"SBS43",0.136,0.006
"SBS44",0.482,0.253
"SBS45",0.213,0.037
"SBS46",0.43,0.063
"SBS47",0.266,0.024
"SBS48",0.077,0.002
"SBS49",0.116,0.013
"SBS50",0.461,0.065
"SBS51",0.299,0.091
"SBS52",0.169,0.015
"SBS53",0.232,0.055
"SBS54",0.226,0.094
"SBS55",0.136,0.034
"SBS56",0.147,0.025
"SBS57",0.356,0.088
"SBS58",0.468,0.075
"SBS59",0.146,0.005
"SBS60",0.048,0.011
"SBS84",0.581,0.064
"SBS85",0.268,0.01
"SBS86",0.366,0.118
"SBS87",0.238,0.758
"SBS88",0.229,0.049
"SBS89",0.648,0.07
"SBS90",0.072,0.003
