"","Sig1","Sig2","Sig3"
"SBS15",0.83,0.66,0.142
"SBS1",0.633,0.949,0.043
"SBS40",0.401,0.209,0.743
"SBS2",0.145,0.128,0.508
"SBS3",0.351,0.197,0.692
"SBS4",0.304,0.13,0.349
"SBS5",0.504,0.365,0.654
"SBS6",0.828,0.824,0.183
"SBS7a",0.251,0.192,0.545
"SBS7b",0.307,0.22,0.432
"SBS7c",0.076,0.068,0.159
"SBS7d",0.138,0.066,0.151
"SBS8",0.273,0.143,0.357
"SBS9",0.277,0.163,0.278
"SBS10a",0.281,0.057,0.032
"SBS10b",0.415,0.346,0.163
"SBS11",0.393,0.156,0.441
"SBS12",0.138,0.096,0.273
"SBS13",0.031,0.029,0.547
"SBS14",0.489,0.104,0.092
"SBS16",0.119,0.098,0.266
"SBS17a",0.04,0.057,0.054
"SBS17b",0.077,0.024,0.04
"SBS18",0.416,0.223,0.286
"SBS19",0.327,0.154,0.364
"SBS20",0.438,0.151,0.175
"SBS21",0.18,0.084,0.16
"SBS22",0.023,0.045,0.173
"SBS23",0.418,0.182,0.357
"SBS24",0.413,0.192,0.338
"SBS25",0.387,0.331,0.483
"SBS26",0.186,0.132,0.23
"SBS27",0.091,0.071,0.138
"SBS28",0.103,0.032,0.038
"SBS29",0.41,0.244,0.285
"SBS30",0.361,0.255,0.578
"SBS31",0.275,0.169,0.424
"SBS32",0.428,0.272,0.45
"SBS33",0.113,0.084,0.16
"SBS34",0.042,0.064,0.066
"SBS35",0.326,0.12,0.412
"SBS36",0.363,0.125,0.211
"SBS37",0.178,0.142,0.259
"SBS38",0.182,0.068,0.125
"SBS39",0.211,0.183,0.63
"SBS41",0.22,0.169,0.353
"SBS42",0.528,0.163,0.333
"SBS43",0.049,0.032,0.108
"SBS44",0.623,0.282,0.275
"SBS45",0.235,0.072,0.132
"SBS46",0.211,0.166,0.326
"SBS47",0.116,0.089,0.224
"SBS48",0.007,0.045,0.022
"SBS49",0.048,0.042,0.05
"SBS50",0.221,0.173,0.417
"SBS51",0.146,0.147,0.264
"SBS52",0.075,0.081,0.153
"SBS53",0.095,0.112,0.174
"SBS54",0.161,0.135,0.18
"SBS55",0.084,0.059,0.111
"SBS56",0.276,0.068,0.086
"SBS57",0.227,0.17,0.237
"SBS58",0.264,0.179,0.381
"SBS59",0.283,0.022,0.067
"SBS60",0.028,0.017,0.022
"SBS84",0.463,0.125,0.309
"SBS85",0.111,0.083,0.213
"SBS86",0.146,0.168,0.511
"SBS87",0.451,0.775,0.155
"SBS88",0.132,0.113,0.168
"SBS89",0.303,0.188,0.619
"SBS90",0.014,0.023,0.081
