"","Sig1","Sig2","Sig3","Sig4","Sig5","Sig6","Sig7","Sig8"
"SBS10a",0.917,0.019,0.026,0.032,0.08,0.018,0.016,0.023
"SBS10b",0.552,0.934,0.025,0.044,0.217,0.029,0.038,0.167
"SBS1",0.156,0.335,0.931,0.845,0.028,0.016,0.096,0.011
"SBS6",0.157,0.341,0.76,0.905,0.135,0.071,0.147,0.13
"SBS28",0.147,0.017,0.018,0.019,0.899,0.095,0.024,0.017
"SBS3",0.163,0.055,0.201,0.162,0.268,0.764,0.427,0.309
"SBS26",0.055,0.05,0.073,0.1,0.213,0.223,0.868,0.069
"SBS2",0.073,0.131,0.052,0.01,0.05,0.002,0.014,0.868
"SBS4",0.277,0.022,0.15,0.14,0.095,0.472,0.131,0.15
"SBS5",0.231,0.206,0.309,0.287,0.314,0.484,0.603,0.453
"SBS7a",0.118,0.239,0.092,0.032,0.047,0.019,0.08,0.852
"SBS7b",0.123,0.23,0.145,0.073,0.068,0.065,0.118,0.64
"SBS7c",0.043,0.008,0.072,0.04,0.148,0.28,0.16,0.103
"SBS7d",0.049,0.046,0.053,0.045,0.202,0.174,0.27,0.12
"SBS8",0.247,0.02,0.166,0.11,0.114,0.57,0.189,0.134
"SBS9",0.276,0.059,0.129,0.121,0.654,0.451,0.396,0.135
"SBS11",0.076,0.099,0.116,0.157,0.137,0.077,0.08,0.547
"SBS12",0.049,0.032,0.054,0.053,0.189,0.273,0.795,0.097
"SBS13",0.082,0.009,0.07,0.007,0.054,0.577,0.006,0.026
"SBS14",0.48,0.026,0.109,0.206,0.039,0.171,0.08,0.041
"SBS15",0.151,0.277,0.556,0.868,0.178,0.082,0.207,0.117
"SBS16",0.07,0.03,0.09,0.04,0.14,0.296,0.374,0.117
"SBS17a",0.011,0.004,0.014,0.028,0.055,0.206,0.471,0.024
"SBS17b",0.058,0.004,0.003,0.035,0.423,0.333,0.028,0.003
"SBS18",0.585,0.088,0.249,0.185,0.151,0.281,0.099,0.131
"SBS19",0.055,0.072,0.153,0.138,0.13,0.088,0.055,0.56
"SBS20",0.088,0.05,0.135,0.326,0.082,0.212,0.169,0.103
"SBS21",0.04,0.05,0.049,0.083,0.178,0.13,0.534,0.028
"SBS22",0.008,0.003,0.056,0.014,0.024,0.283,0.12,0.02
"SBS23",0.057,0.087,0.163,0.237,0.14,0.087,0.068,0.425
"SBS24",0.181,0.076,0.212,0.242,0.148,0.381,0.114,0.121
"SBS25",0.269,0.153,0.303,0.248,0.195,0.539,0.418,0.235
"SBS27",0.043,0.029,0.072,0.061,0.033,0.156,0.082,0.085
"SBS29",0.272,0.1,0.282,0.234,0.095,0.367,0.085,0.083
"SBS30",0.083,0.125,0.213,0.183,0.1,0.097,0.091,0.747
"SBS31",0.076,0.061,0.182,0.111,0.092,0.246,0.196,0.444
"SBS32",0.123,0.116,0.265,0.245,0.141,0.166,0.094,0.442
"SBS33",0.057,0.026,0.045,0.052,0.064,0.078,0.576,0.061
"SBS34",0.012,0.011,0.055,0.046,0.016,0.143,0.129,0.015
"SBS35",0.135,0.028,0.137,0.147,0.079,0.489,0.112,0.228
"SBS36",0.718,0.039,0.135,0.098,0.158,0.203,0.058,0.101
"SBS37",0.087,0.053,0.109,0.089,0.378,0.35,0.596,0.098
"SBS38",0.107,0.017,0.065,0.128,0.039,0.223,0.074,0.046
"SBS39",0.104,0.065,0.202,0.132,0.194,0.723,0.261,0.134
"SBS40",0.306,0.08,0.201,0.139,0.435,0.645,0.379,0.515
"SBS41",0.141,0.07,0.147,0.139,0.539,0.449,0.304,0.134
"SBS42",0.192,0.097,0.119,0.283,0.21,0.27,0.133,0.276
"SBS43",0.014,0.007,0.035,0.024,0.106,0.151,0.154,0.017
"SBS44",0.159,0.108,0.244,0.485,0.215,0.225,0.341,0.123
"SBS45",0.218,0.014,0.068,0.143,0.058,0.256,0.055,0.045
"SBS46",0.071,0.058,0.119,0.114,0.198,0.272,0.754,0.204
"SBS47",0.049,0.051,0.071,0.035,0.115,0.231,0.149,0.221
"SBS48",0.025,0.006,0.046,0.008,0.062,0.014,0.013,0.008
"SBS49",0.033,0.005,0.041,0.06,0.026,0.123,0.046,0.02
"SBS50",0.082,0.088,0.154,0.074,0.125,0.305,0.124,0.397
"SBS51",0.059,0.061,0.158,0.098,0.138,0.288,0.162,0.133
"SBS52",0.206,0.034,0.086,0.027,0.276,0.086,0.028,0.039
"SBS53",0.036,0.043,0.101,0.096,0.052,0.246,0.127,0.066
"SBS54",0.043,0.022,0.088,0.125,0.056,0.081,0.799,0.046
"SBS55",0.048,0.033,0.049,0.043,0.156,0.119,0.095,0.062
"SBS56",0.838,0.017,0.05,0.041,0.191,0.064,0.036,0.019
"SBS57",0.142,0.058,0.15,0.118,0.569,0.234,0.224,0.224
"SBS58",0.148,0.103,0.138,0.099,0.224,0.264,0.217,0.457
"SBS59",0.045,0.003,0.069,0.054,0.026,0.216,0.032,0.02
"SBS60",0.013,0.006,0.023,0.015,0.079,0.04,0.012,0.01
"SBS84",0.067,0.097,0.11,0.259,0.236,0.204,0.059,0.232
"SBS85",0.057,0.033,0.067,0.032,0.223,0.309,0.32,0.136
"SBS86",0.086,0.084,0.179,0.11,0.084,0.6,0.084,0.094
"SBS87",0.155,0.273,0.796,0.58,0.067,0.157,0.094,0.068
"SBS88",0.121,0.048,0.115,0.059,0.433,0.236,0.233,0.047
"SBS89",0.199,0.052,0.213,0.147,0.182,0.625,0.275,0.254
"SBS90",0.012,0.004,0.029,0.007,0.047,0.202,0.091,0.011
