"","Sig1","Sig2","Sig3"
"SBS7b",0.96,0.194,0.079
"SBS40",0.442,0.891,0.074
"SBS1",0.102,0.03,0.966
"SBS2",0.445,0.302,0.024
"SBS3",0.332,0.888,0.091
"SBS4",0.138,0.619,0.067
"SBS5",0.452,0.775,0.247
"SBS6",0.218,0.211,0.852
"SBS7a",0.871,0.232,0.054
"SBS7c",0.108,0.257,0.027
"SBS7d",0.12,0.282,0.02
"SBS8",0.092,0.663,0.062
"SBS9",0.15,0.481,0.094
"SBS10a",0.024,0.215,0.034
"SBS10b",0.33,0.119,0.24
"SBS11",0.744,0.272,0.061
"SBS12",0.065,0.437,0.049
"SBS13",0.019,0.445,0.006
"SBS14",0.037,0.32,0.135
"SBS15",0.145,0.208,0.723
"SBS16",0.085,0.392,0.036
"SBS17a",0.024,0.215,0.019
"SBS17b",0.01,0.088,0.013
"SBS18",0.128,0.535,0.154
"SBS19",0.58,0.347,0.067
"SBS20",0.117,0.337,0.194
"SBS21",0.043,0.27,0.072
"SBS22",0.029,0.26,0.011
"SBS23",0.623,0.279,0.112
"SBS24",0.132,0.543,0.144
"SBS25",0.22,0.677,0.242
"SBS26",0.059,0.396,0.096
"SBS27",0.079,0.183,0.049
"SBS28",0.025,0.1,0.019
"SBS29",0.066,0.538,0.192
"SBS30",0.803,0.383,0.126
"SBS31",0.634,0.369,0.076
"SBS32",0.412,0.451,0.192
"SBS33",0.046,0.219,0.069
"SBS34",0.026,0.127,0.04
"SBS35",0.346,0.51,0.065
"SBS36",0.076,0.446,0.069
"SBS37",0.085,0.462,0.082
"SBS38",0.046,0.292,0.063
"SBS39",0.126,0.742,0.111
"SBS41",0.126,0.454,0.122
"SBS42",0.397,0.48,0.103
"SBS43",0.014,0.212,0.014
"SBS44",0.114,0.461,0.323
"SBS45",0.03,0.345,0.07
"SBS46",0.186,0.514,0.093
"SBS47",0.217,0.282,0.024
"SBS48",0.006,0.077,0.005
"SBS49",0.011,0.168,0.025
"SBS50",0.437,0.421,0.062
"SBS51",0.115,0.386,0.094
"SBS52",0.021,0.238,0.02
"SBS53",0.073,0.303,0.067
"SBS54",0.036,0.262,0.127
"SBS55",0.057,0.174,0.04
"SBS56",0.017,0.28,0.035
"SBS57",0.205,0.381,0.105
"SBS58",0.34,0.475,0.087
"SBS59",0.009,0.221,0.019
"SBS60",0.014,0.071,0.013
"SBS84",0.301,0.401,0.1
"SBS85",0.105,0.377,0.02
"SBS86",0.092,0.524,0.12
"SBS87",0.207,0.193,0.716
"SBS88",0.035,0.32,0.065
"SBS89",0.221,0.79,0.101
"SBS90",0.023,0.132,0.006
