"","Sig1","Sig2","Sig3"
"SBS1",0.904,0.128,0.01
"SBS40",0.197,0.779,0.239
"SBS35",0.175,0.447,0.431
"SBS2",0.026,0.529,0
"SBS3",0.222,0.654,0.302
"SBS4",0.18,0.376,0.248
"SBS5",0.368,0.751,0.182
"SBS6",0.891,0.236,0.034
"SBS7a",0.075,0.587,0.002
"SBS7b",0.132,0.48,0.007
"SBS7c",0.056,0.229,0.185
"SBS7d",0.086,0.188,0.039
"SBS8",0.156,0.467,0.427
"SBS9",0.167,0.411,0.131
"SBS10a",0.078,0.16,0.022
"SBS10b",0.202,0.308,0.004
"SBS11",0.167,0.416,0.012
"SBS12",0.138,0.355,0.132
"SBS13",0.017,0.267,0.023
"SBS14",0.227,0.163,0.084
"SBS15",0.82,0.145,0.049
"SBS16",0.091,0.434,0.122
"SBS17a",0.056,0.152,0.245
"SBS17b",0.025,0.103,0.016
"SBS18",0.228,0.386,0.178
"SBS19",0.155,0.386,0.016
"SBS20",0.326,0.145,0.079
"SBS21",0.129,0.191,0.055
"SBS22",0.033,0.223,0.293
"SBS23",0.244,0.314,0.011
"SBS24",0.245,0.363,0.179
"SBS25",0.326,0.584,0.408
"SBS26",0.197,0.307,0.104
"SBS27",0.067,0.115,0.085
"SBS28",0.024,0.111,0.009
"SBS29",0.265,0.346,0.186
"SBS30",0.197,0.579,0.057
"SBS31",0.164,0.449,0.195
"SBS32",0.265,0.442,0.067
"SBS33",0.123,0.155,0.027
"SBS34",0.068,0.04,0.016
"SBS36",0.14,0.328,0.147
"SBS37",0.151,0.396,0.146
"SBS38",0.148,0.076,0.2
"SBS39",0.17,0.52,0.166
"SBS41",0.179,0.338,0.111
"SBS42",0.287,0.34,0.102
"SBS43",0.037,0.123,0.06
"SBS44",0.479,0.264,0.1
"SBS45",0.167,0.112,0.165
"SBS46",0.19,0.371,0.184
"SBS47",0.066,0.243,0.059
"SBS48",0.008,0.138,0.021
"SBS49",0.067,0.062,0.092
"SBS50",0.113,0.472,0.073
"SBS51",0.124,0.295,0.111
"SBS52",0.043,0.236,0.141
"SBS53",0.128,0.127,0.249
"SBS54",0.229,0.155,0.032
"SBS55",0.057,0.135,0.023
"SBS56",0.084,0.22,0.068
"SBS57",0.157,0.35,0.163
"SBS58",0.141,0.502,0.153
"SBS59",0.061,0.118,0.167
"SBS60",0.02,0.041,0.003
"SBS84",0.248,0.275,0.048
"SBS85",0.072,0.306,0.128
"SBS86",0.143,0.322,0.093
"SBS87",0.638,0.33,0.076
"SBS88",0.101,0.345,0.069
"SBS89",0.199,0.608,0.314
"SBS90",0.022,0.12,0.219
