"","Sig1","Sig2","Sig3","Sig4","Sig5","Sig6","Sig7","Sig8","Sig9","Sig10"
"SBS10a",0.783,0.02,0.037,0.426,0.02,0.03,0.666,0.044,0.016,0.035
"SBS1",0.185,0.96,0.403,0.298,0.503,0.077,0.012,0.463,0.014,0.065
"SBS15",0.136,0.688,0.879,0.381,0.186,0.366,0.063,0.836,0.127,0.1
"SBS14",0.379,0.065,0.104,0.945,0.099,0.512,0.304,0.159,0.109,0.053
"SBS87",0.183,0.712,0.164,0.19,0.706,0.175,0.068,0.214,0.078,0.187
"SBS44",0.115,0.219,0.715,0.478,0.224,0.856,0.126,0.413,0.385,0.073
"SBS28",0.065,0.012,0.01,0.034,0.022,0.016,0.727,0.214,0.015,0.027
"SBS26",0.029,0.05,0.108,0.06,0.188,0.328,0.132,0.168,0.915,0.079
"SBS2",0.111,0.019,0.079,0.018,0.273,0.018,0.001,0.076,0.029,0.678
"SBS3",0.12,0.036,0.266,0.275,0.332,0.503,0.232,0.18,0.41,0.514
"SBS4",0.214,0.019,0.08,0.523,0.137,0.468,0.234,0.093,0.103,0.328
"SBS5",0.215,0.189,0.407,0.22,0.537,0.547,0.255,0.325,0.56,0.46
"SBS6",0.173,0.809,0.841,0.308,0.501,0.462,0.028,0.68,0.097,0.091
"SBS7a",0.175,0.05,0.158,0.028,0.498,0.088,0.006,0.152,0.041,0.555
"SBS7b",0.172,0.073,0.191,0.048,0.655,0.222,0.022,0.155,0.057,0.257
"SBS7c",0.032,0.019,0.023,0.069,0.121,0.093,0.108,0.038,0.148,0.133
"SBS7d",0.039,0.01,0.092,0.041,0.165,0.105,0.096,0.115,0.441,0.095
"SBS8",0.19,0.03,0.073,0.424,0.14,0.306,0.233,0.085,0.154,0.323
"SBS9",0.196,0.065,0.135,0.171,0.199,0.235,0.596,0.253,0.357,0.195
"SBS10b",0.743,0.225,0.089,0.103,0.433,0.047,0.244,0.439,0.052,0.199
"SBS11",0.086,0.022,0.488,0.077,0.555,0.372,0.028,0.19,0.08,0.204
"SBS12",0.024,0.009,0.082,0.032,0.174,0.265,0.117,0.124,0.863,0.112
"SBS13",0.065,0.004,0.012,0.037,0.014,0.015,0.094,0.005,0.004,0.595
"SBS16",0.05,0.021,0.057,0.058,0.142,0.151,0.127,0.07,0.327,0.205
"SBS17a",0.003,0.005,0.012,0.015,0.067,0.171,0.036,0.03,0.258,0.034
"SBS17b",0.021,0.002,0.002,0.048,0.007,0.028,0.321,0.188,0.026,0.028
"SBS18",0.49,0.123,0.142,0.534,0.162,0.25,0.476,0.165,0.071,0.301
"SBS19",0.056,0.035,0.359,0.051,0.503,0.412,0.042,0.129,0.079,0.199
"SBS20",0.047,0.101,0.291,0.709,0.148,0.824,0.035,0.24,0.177,0.082
"SBS21",0.016,0.026,0.147,0.076,0.138,0.163,0.084,0.182,0.88,0.03
"SBS22",0.006,0.006,0.017,0.017,0.024,0.053,0.016,0.011,0.08,0.156
"SBS23",0.055,0.062,0.585,0.066,0.487,0.513,0.027,0.223,0.103,0.102
"SBS24",0.139,0.103,0.356,0.339,0.142,0.331,0.177,0.249,0.125,0.293
"SBS25",0.243,0.198,0.234,0.282,0.325,0.361,0.233,0.222,0.404,0.394
"SBS27",0.039,0.039,0.088,0.047,0.07,0.087,0.03,0.055,0.066,0.128
"SBS29",0.222,0.156,0.165,0.524,0.145,0.291,0.22,0.192,0.072,0.305
"SBS30",0.096,0.084,0.424,0.086,0.567,0.428,0.039,0.161,0.068,0.404
"SBS31",0.065,0.051,0.17,0.163,0.506,0.372,0.069,0.093,0.155,0.18
"SBS32",0.117,0.142,0.453,0.177,0.527,0.414,0.084,0.177,0.119,0.237
"SBS33",0.043,0.033,0.069,0.037,0.134,0.209,0.07,0.07,0.533,0.09
"SBS34",0.008,0.042,0.026,0.025,0.025,0.055,0.016,0.034,0.054,0.076
"SBS35",0.096,0.021,0.155,0.469,0.256,0.463,0.103,0.127,0.086,0.279
"SBS36",0.591,0.04,0.064,0.577,0.079,0.199,0.597,0.089,0.048,0.238
"SBS37",0.051,0.056,0.091,0.063,0.19,0.186,0.266,0.185,0.636,0.154
"SBS38",0.078,0.02,0.027,0.412,0.039,0.396,0.071,0.091,0.047,0.122
"SBS39",0.084,0.09,0.14,0.136,0.183,0.226,0.16,0.146,0.227,0.58
"SBS40",0.24,0.024,0.26,0.315,0.383,0.461,0.438,0.212,0.333,0.641
"SBS41",0.096,0.104,0.141,0.089,0.168,0.165,0.422,0.225,0.294,0.301
"SBS42",0.167,0.024,0.715,0.241,0.309,0.629,0.132,0.314,0.211,0.184
