"","Sig1","Sig2","Sig3","Sig4"
"SBS10b",0.752,0.306,0.043,0.201
"SBS1",0.278,0.907,0.148,0.045
"SBS3",0.214,0.257,0.709,0.326
"SBS13",0.073,0.015,0.068,0.832
"SBS2",0.116,0.09,0.037,0.541
"SBS4",0.252,0.163,0.55,0.124
"SBS5",0.335,0.439,0.612,0.296
"SBS6",0.282,0.902,0.227,0.084
"SBS7a",0.197,0.158,0.234,0.419
"SBS7b",0.207,0.203,0.382,0.204
"SBS7c",0.074,0.059,0.184,0.071
"SBS7d",0.108,0.092,0.149,0.064
"SBS8",0.234,0.143,0.558,0.095
"SBS9",0.366,0.179,0.368,0.093
"SBS10a",0.748,0.029,0.025,0.029
"SBS11",0.134,0.223,0.276,0.209
"SBS12",0.112,0.166,0.244,0.041
"SBS14",0.416,0.197,0.122,0.02
"SBS15",0.253,0.73,0.136,0.095
"SBS16",0.105,0.105,0.332,0.118
"SBS17a",0.034,0.076,0.204,0.007
"SBS17b",0.139,0.023,0.106,0.003
"SBS18",0.522,0.216,0.434,0.128
"SBS19",0.099,0.204,0.348,0.143
"SBS20",0.123,0.307,0.186,0.035
"SBS21",0.094,0.155,0.084,0.011
"SBS22",0.014,0.033,0.213,0.023
"SBS23",0.103,0.278,0.318,0.084
"SBS24",0.195,0.246,0.488,0.119
"SBS25",0.319,0.352,0.483,0.227
"SBS26",0.13,0.215,0.222,0.027
"SBS27",0.052,0.079,0.133,0.066
"SBS28",0.269,0.022,0.051,0.012
"SBS29",0.27,0.261,0.489,0.099
"SBS30",0.143,0.294,0.36,0.28
"SBS31",0.118,0.198,0.476,0.087
"SBS32",0.178,0.343,0.3,0.192
"SBS33",0.091,0.121,0.064,0.082
"SBS34",0.018,0.051,0.09,0.011
"SBS35",0.144,0.167,0.493,0.157
"SBS36",0.608,0.11,0.277,0.138
"SBS37",0.178,0.176,0.339,0.056
"SBS38",0.105,0.107,0.304,0.035
"SBS39",0.149,0.198,0.58,0.465
"SBS40",0.363,0.241,0.656,0.446
"SBS41",0.233,0.176,0.232,0.275
"SBS42",0.219,0.291,0.38,0.118
"SBS43",0.035,0.051,0.2,0.011
"SBS44",0.215,0.477,0.197,0.052
"SBS45",0.195,0.126,0.287,0.06
"SBS46",0.143,0.241,0.328,0.098
"SBS47",0.084,0.07,0.224,0.148
"SBS48",0.034,0.01,0.127,0.043
"SBS49",0.032,0.062,0.189,0.02
"SBS50",0.135,0.135,0.425,0.235
"SBS51",0.099,0.159,0.322,0.121
"SBS52",0.208,0.033,0.188,0.121
"SBS53",0.053,0.111,0.388,0.04
"SBS54",0.085,0.228,0.152,0.015
"SBS55",0.078,0.058,0.166,0.048
"SBS56",0.701,0.041,0.091,0.054
"SBS57",0.248,0.165,0.27,0.127
"SBS58",0.212,0.167,0.295,0.329
"SBS59",0.039,0.059,0.139,0.011
"SBS60",0.024,0.016,0.092,0.005
"SBS84",0.117,0.275,0.261,0.084
"SBS85",0.113,0.079,0.232,0.096
"SBS86",0.114,0.157,0.334,0.496
"SBS87",0.26,0.754,0.461,0.092
"SBS88",0.197,0.101,0.252,0.021
"SBS89",0.221,0.222,0.609,0.343
"SBS90",0.02,0.016,0.091,0.015
