"","Sig1","Sig2","Sig3"
"SBS5",0.78,0.2,0.199
"SBS1",0.027,0.965,0.004
"SBS17a",0.054,0.006,0.483
"SBS2",0.245,0.038,0.001
"SBS3",0.739,0.038,0.322
"SBS4",0.446,0.017,0.12
"SBS6",0.328,0.771,0.012
"SBS7a",0.321,0.075,0.025
"SBS7b",0.366,0.097,0.089
"SBS7c",0.167,0.021,0.166
"SBS7d",0.323,0.009,0.075
"SBS8",0.425,0.024,0.25
"SBS9",0.411,0.064,0.253
"SBS10a",0.091,0.016,0.002
"SBS10b",0.13,0.31,0.002
"SBS11",0.501,0.026,0.049
"SBS12",0.413,0.005,0.16
"SBS13",0.194,0.004,0.046
"SBS14",0.225,0.074,0.011
"SBS15",0.286,0.54,0.016
"SBS16",0.384,0.016,0.074
"SBS17b",0.101,0.002,0.02
"SBS18",0.309,0.123,0.04
"SBS19",0.45,0.047,0.096
"SBS20",0.348,0.099,0.039
"SBS21",0.292,0.028,0.031
"SBS22",0.342,0.005,0.311
"SBS23",0.499,0.068,0.086
"SBS24",0.434,0.081,0.049
"SBS25",0.678,0.208,0.244
"SBS26",0.413,0.045,0.137
"SBS27",0.134,0.039,0.021
"SBS28",0.104,0.014,0.007
"SBS29",0.313,0.155,0.033
"SBS30",0.542,0.108,0.053
"SBS31",0.425,0.058,0.214
"SBS32",0.53,0.155,0.037
"SBS33",0.198,0.032,0.032
"SBS34",0.05,0.029,0.138
"SBS35",0.482,0.019,0.203
"SBS36",0.242,0.039,0.021
"SBS37",0.446,0.051,0.211
"SBS38",0.182,0.02,0.015
"SBS39",0.525,0.088,0.299
"SBS40",0.723,0.03,0.241
"SBS41",0.349,0.091,0.161
"SBS42",0.65,0.025,0.083
"SBS43",0.151,0.003,0.125
"SBS44",0.564,0.191,0.042
"SBS45",0.21,0.016,0.012
"SBS46",0.417,0.056,0.311
"SBS47",0.204,0.017,0.067
"SBS48",0.07,0.001,0.001
"SBS49",0.096,0.005,0.001
"SBS50",0.328,0.054,0.036
"SBS51",0.282,0.087,0.192
"SBS52",0.133,0.012,0.008
"SBS53",0.209,0.052,0.041
"SBS54",0.297,0.087,0.054
"SBS55",0.237,0.027,0.04
"SBS56",0.129,0.014,0.02
"SBS57",0.372,0.082,0.112
"SBS58",0.442,0.065,0.111
"SBS59",0.138,0.005,0.02
"SBS60",0.079,0.011,0.009
"SBS84",0.578,0.031,0.04
"SBS85",0.313,0.003,0.169
"SBS86",0.328,0.113,0.16
"SBS87",0.141,0.824,0.093
"SBS88",0.301,0.049,0.037
"SBS89",0.684,0.058,0.242
"SBS90",0.056,0.001,0.094
