,gene_name,accuracy
0,CCND1,0.9951749095295537
1,CCND2,0.9981905910735827
2,CCND3,0.9963811821471653
3,CCNE1,0.9927623642943305
4,CDK4,0.9987937273823885
5,CDK6,0.9987937273823885
6,E2F1,0.9939686369119421
7,E2F3,0.9945717732207479
8,YAP1,0.9921592279855247
9,MYC,0.9909529553679132
10,MYCN,0.991556091676719
11,ARRDC1,0.996984318455971
12,KDM5A,0.9843184559710495
13,NFE2L2,0.9728588661037394
14,AKT1,0.9909529553679132
15,AKT2,0.996984318455971
16,PIK3CA,0.8932448733413751
17,PIK3CB,0.9903498190591074
18,PIK3R2,0.9957780458383595
19,RHEB,0.9987937273823885
20,RICTOR,0.9806996381182147
21,RPTOR,0.98854041013269
22,EGFR,0.9752714113389626
23,ERBB2,0.9800965018094089
24,ERBB3,0.9800965018094089
25,PDGFRA,0.9831121833534379
26,MET,0.9806996381182147
27,FGFR1,0.9921592279855247
28,FGFR2,0.9806996381182147
29,FGFR3,0.9867310012062727
30,FGFR4,0.991556091676719
31,KIT,0.9782870928829915
32,IGF1R,0.9879372738238842
33,KRAS,0.9390832328106152
34,HRAS,0.9867310012062727
35,BRAF,0.9258142340168878
36,RAF1,0.9927623642943305
37,RAC1,0.9903498190591074
38,MAPK1,0.9963811821471653
39,JAK2,0.9873341375150784
40,MDM2,0.996984318455971
41,MDM4,0.9981905910735827
42,CDKN1A,0.9957780458383595
43,CDKN1B,0.9993968636911942
44,CDKN2A,0.9686369119420989
45,CDKN2B,0.9993968636911942
46,CDKN2C,0.9993968636911942
47,RB1,0.9716525934861279
48,SAV1,0.9957780458383595
49,LATS1,0.9849215922798552
50,LATS2,0.98854041013269
51,PTPN14,0.9843184559710495
52,NF2,0.9927623642943305
53,FAT1,0.9451145958986731
54,MGA,0.9680337756332931
55,CNTN6,0.9734620024125452
56,CREBBP,0.9650180940892642
57,EP300,0.9674306393244874
58,HES2,1.0
59,HES3,0.9993968636911942
60,HES4,0.9987937273823885
61,HES5,1.0
62,HEY1,0.996984318455971
63,KAT2B,0.9921592279855247
64,NOTCH1,0.9782870928829915
65,NOTCH2,0.9831121833534379
66,NOTCH3,0.982509047044632
67,NOTCH4,0.9788902291917974
68,NOV,0.996984318455971
69,PSEN2,0.9945717732207479
70,FBXW7,0.9680337756332931
71,NCOR1,0.971049457177322
72,NCOR2,0.9806996381182147
73,KEAP1,0.9764776839565742
74,CUL3,0.9879372738238842
75,INPP4B,0.9843184559710495
76,PIK3R1,0.9843184559710495
77,PTEN,0.9396863691194209
78,STK11,0.9891435464414958
79,TSC1,0.9867310012062727
80,TSC2,0.9867310012062727
81,TGFBR1,0.9897466827503015
82,TGFBR2,0.991556091676719
83,ACVR2A,0.9903498190591074
84,SMAD2,0.98854041013269
85,SMAD3,0.991556091676719
86,SMAD4,0.9831121833534379
87,NF1,0.962605548854041
88,RASA1,0.9861278648974668
89,CBL,0.9927623642943305
90,ERRFI1,0.9981905910735827
91,TP53,0.7086851628468034
92,ATM,0.962605548854041
93,SFRP1,0.9981905910735827
94,ZNRF3,0.9957780458383595
95,AMER1,0.9813027744270205
96,APC,0.9420989143546441
97,AXIN1,0.9927623642943305
98,DKK1,0.9963811821471653
99,DKK4,0.9975874547647768
100,RNF43,0.9921592279855247
101,TCF7L2,0.985524728588661
102,ABL1,0.9921592279855247
103,ACVR1B,0.98854041013269
104,AKT3,0.9903498190591074
105,ALK,0.9764776839565742
106,ARAF,0.9933655006031363
107,AXIN2,0.9945717732207479
108,CDK2,0.9987937273823885
109,CHEK2,0.9939686369119421
110,CRB1,0.9692400482509047
111,CRB2,0.9909529553679132
112,CSNK1D,0.9963811821471653
113,CSNK1E,0.9957780458383595
114,CTNNB1,0.96562123039807
115,CUL1,0.9867310012062727
116,DCHS1,0.9704463208685162
117,DCHS2,0.9571773220747889
118,DKK2,0.9945717732207479
119,DKK3,0.9951749095295537
120,DNER,0.9813027744270205
121,ERBB4,0.9668275030156815
122,ERF,0.9957780458383595
123,FAT2,0.96562123039807
124,FAT3,0.9270205066344994
125,FAT4,0.9246079613992763
126,FLT3,0.9837153196622437
127,GRB2,0.9963811821471653
128,GSK3B,0.9963811821471653
129,HDAC1,0.9975874547647768
130,HES1,0.9975874547647768
131,HEY2,0.9963811821471653
132,HEYL,0.9951749095295537
133,JAG2,0.9879372738238842
134,MAML3,0.9897466827503015
135,MAP2K1,0.9909529553679132
136,MAP2K2,0.9981905910735827
137,MAX,0.9963811821471653
138,MLST8,0.9975874547647768
139,MLX,0.996984318455971
140,MNT,0.9951749095295537
141,MOB1A,1.0
142,MOB1B,0.9981905910735827
143,MTOR,0.9728588661037394
144,MXI1,0.9963811821471653
145,NPRL2,0.9975874547647768
146,NPRL3,0.9963811821471653
147,NRAS,0.9728588661037394
148,NTRK1,0.9903498190591074
149,NTRK3,0.9800965018094089
150,PIK3R3,0.9933655006031363
151,PLXNB1,0.9873341375150784
152,PPP2R1A,0.9819059107358263
153,PTPN11,0.9861278648974668
154,RET,0.9758745476477684
155,RIT1,0.996984318455971
156,ROS1,0.9698431845597105
157,RPS6KA3,0.9909529553679132
158,RPS6KB1,0.996984318455971
159,SFRP2,0.9951749095295537
160,SFRP4,0.991556091676719
161,SFRP5,0.9975874547647768
162,SOS1,0.9843184559710495
163,SOST,0.9981905910735827
164,SPEN,0.9716525934861279
165,SPRED1,0.9933655006031363
166,STK3,0.9951749095295537
167,STK4,0.9927623642943305
168,TAOK1,0.9873341375150784
169,TAOK2,0.9891435464414958
170,TAOK3,0.991556091676719
171,TCF7,0.9951749095295537
172,TCF7L1,0.9975874547647768
173,TEAD2,0.9957780458383595
174,THBS2,0.9813027744270205
175,TLE1,0.9921592279855247
176,TLE2,0.9951749095295537
177,TLE3,0.9963811821471653
178,TLE4,0.9806996381182147
179,WIF1,0.9903498190591074
180,WWC1,0.9819059107358263
181,CRB3,0.9987937273823885
182,LRP5,0.98854041013269
183,NTRK2,0.9873341375150784
184,PDGFRB,0.9849215922798552
185,TEAD3,0.9957780458383595
186,WWTR1,0.9957780458383595
