,gene_name,Accuracy,Mutation_frequency
0,MEN1,0.9927623642943305,
1,ATRX,0.9583835946924005,
2,CTNNB1,0.9632086851628469,
3,TP53,0.7008443908323281,
4,PRKAR1A,0.9945717732207479,
5,RXRA,0.9921592279855247,
6,CUL1,0.9873341375150784,
7,NFE2L2,0.9806996381182147,
8,STAG2,0.9806996381182147,
9,EP300,0.9662243667068757,
10,FAT1,0.9529553679131484,
11,FOXA1,0.9939686369119421,
12,ATM,0.9577804583835947,
13,ELF3,0.9897466827503015,
14,FOXQ1,0.9981905910735827,
15,ARID1A,0.9553679131483716,
16,ERBB3,0.9794933655006032,
17,PIK3CA,0.8890229191797346,
18,ASXL2,0.9843184559710495,
19,KRAS,0.9288299155609168,
20,TXNIP,0.9957780458383595,
21,ZFP36L1,0.996984318455971,
22,HRAS,0.9927623642943305,
23,RHOB,0.9957780458383595,
24,CREBBP,0.9716525934861279,
25,NRAS,0.9674306393244874,
26,ERBB2,0.97708082026538,
27,KANSL1,0.9813027744270205,
28,KDM6A,0.9782870928829915,
29,PSIP1,0.9927623642943305,
30,FGFR3,0.9867310012062727,
31,CDKN2A,0.97708082026538,
32,SF1,0.9897466827503015,
33,GNA13,0.985524728588661,
34,ERCC2,0.9873341375150784,
35,DIAPH2,0.9867310012062727,
36,SF3B1,0.9716525934861279,
37,PTEN,0.9439083232810616,
38,RB1,0.9698431845597105,
39,KMT2D,0.9439083232810616,
40,CDKN1A,0.9957780458383595,
41,RHOA,0.9897466827503015,
42,TSC1,0.9921592279855247,
43,SPTAN1,0.9831121833534379,
44,KLF5,0.9939686369119421,
45,RBM10,0.9867310012062727,
46,FBXW7,0.9632086851628469,
47,KMT2C,0.9336550060313631,
48,TBX3,0.98854041013269,
49,CDKN1B,0.9951749095295537,
50,NF1,0.9607961399276237,
51,PTPRD,0.9595898673100121,
52,CBFB,0.9945717732207479,
53,CHD4,0.971049457177322,
54,PIK3R1,0.9800965018094089,
55,GATA3,0.9921592279855247,
56,CTCF,0.9831121833534379,
57,MAP3K1,0.9843184559710495,
58,AKT1,0.9837153196622437,
59,MAP2K4,0.9879372738238842,
60,CDH1,0.982509047044632,
61,GPS2,0.9975874547647768,
62,CASP8,0.9867310012062727,
63,NCOR1,0.9758745476477684,
64,BRCA1,0.9861278648974668,
65,RUNX1,0.9933655006031363,
66,HLA-B,0.9945717732207479,
67,SMAD4,0.9831121833534379,
68,NOTCH1,0.9788902291917974,
69,POLRMT,0.9933655006031363,
70,STK11,0.991556091676719,
71,TGFBR2,0.9903498190591074,
72,MAPK1,0.9831121833534379,
73,LATS1,0.9843184559710495,
74,IDH1,0.9469240048250904,
75,EPHA2,0.982509047044632,
76,PBRM1,0.9752714113389626,
77,BAP1,0.985524728588661,
78,TGIF1,0.9987937273823885,
79,APC,0.9469240048250904,
80,ACVR2A,0.9951749095295537,
81,AMER1,0.974065138721351,
82,PCBP1,0.9933655006031363,
83,BRAF,0.9396863691194209,
84,SOX9,0.9843184559710495,
85,TCF7L2,0.98854041013269,
86,ZFP36L2,0.9927623642943305,
87,SMAD2,0.9921592279855247,
88,GNAS,0.9843184559710495,
89,CARD11,0.9849215922798552,
90,CD70,0.9975874547647768,
91,TNFAIP3,0.9951749095295537,
92,TMSB4X,1.0,
93,BTG2,0.9975874547647768,
94,HIST1H1E,0.9957780458383595,
95,PIM1,0.9987937273823885,
96,CD79B,0.9975874547647768,
97,MYD88,0.9987937273823885,
98,B2M,0.991556091676719,
99,NSD1,0.9674306393244874,
100,PTCH1,0.9867310012062727,
101,ZNF750,0.98854041013269,
102,TCF12,0.9939686369119421,
103,EGFR,0.9734620024125452,
104,LZTR1,0.9891435464414958,
105,SPTA1,0.9294330518697226,
106,KEL,0.9813027744270205,
107,PDGFRA,0.9764776839565742,
108,GABRA6,0.9837153196622437,
109,CYLD,0.991556091676719,
110,MYH9,0.9788902291917974,
111,FLNA,0.9728588661037394,
112,HUWE1,0.9565741857659831,
113,AJUBA,0.9951749095295537,
114,KEAP1,0.9794933655006032,
115,RAC1,0.9921592279855247,
116,ARID2,0.9722557297949337,
117,CUL3,0.991556091676719,
118,RASA1,0.9831121833534379,
119,HLA-A,0.9963811821471653,
120,SETD2,0.9668275030156815,
121,MTOR,0.9806996381182147,
122,VHL,0.9806996381182147,
123,KDM5C,0.9903498190591074,
124,KIF1A,0.982509047044632,
125,TCEB1,0.9987937273823885,
126,SMARCB1,0.9939686369119421,
127,MET,0.9819059107358263,
128,NF2,0.9903498190591074,
129,SMC1A,0.9873341375150784,
130,KIT,0.9849215922798552,
131,U2AF1,1.0,
132,PTPDC1,0.991556091676719,
133,NPM1,0.9957780458383595,
134,DNMT3A,0.982509047044632,
135,PTPN11,0.991556091676719,
136,ASXL1,0.9861278648974668,
137,IDH2,0.9927623642943305,
138,FLT3,0.98854041013269,
139,WT1,0.9921592279855247,
140,CIC,0.9794933655006032,
141,ZBTB20,0.9897466827503015,
142,FUBP1,0.9933655006031363,
143,NIPBL,0.9716525934861279,
144,MAX,0.9957780458383595,
145,SMARCA4,0.9752714113389626,
146,ZCCHC12,0.9939686369119421,
147,PLCG1,0.9891435464414958,
148,NUP133,0.9861278648974668,
149,ALB,0.9861278648974668,
150,BRD7,0.9933655006031363,
151,APOB,0.9330518697225573,
152,TSC2,0.9873341375150784,
153,AXIN1,0.991556091676719,
154,XPO1,0.991556091676719,
155,WHSC1,0.9897466827503015,
156,CREB3L3,0.9909529553679132,
157,IL6ST,0.9921592279855247,
158,DHX9,0.9800965018094089,
159,RPS6KA3,0.991556091676719,
160,EEF1A1,0.9909529553679132,
161,MGA,0.9716525934861279,
162,RIT1,0.9981905910735827,
163,FGFR2,0.9873341375150784,
164,ARHGAP35,0.9758745476477684,
165,LATS2,0.9879372738238842,
166,CDK12,0.9758745476477684,
167,ZNF133,0.9927623642943305,
168,RNF43,0.9897466827503015,
169,EEF2,0.9909529553679132,
170,RET,0.9837153196622437,
171,CSDE1,0.9939686369119421,
172,EPAS1,0.9909529553679132,
173,MED12,0.9716525934861279,
174,ZMYM3,0.9806996381182147,
175,SPOP,0.9843184559710495,
176,DACH1,0.9861278648974668,
177,COL5A1,0.971049457177322,
178,PPP6C,0.996984318455971,
179,MAP2K1,0.9927623642943305,
180,CDK4,0.9975874547647768,
181,RQCD1,0.996984318455971,
182,MECOM,0.9776839565741857,
183,DDX3X,0.9897466827503015,
184,GNA11,0.9891435464414958,
185,PTMA,0.9993968636911942,
186,PPM1D,0.991556091676719,
187,EIF1AX,0.9939686369119421,
188,NUP93,0.9933655006031363,
189,GTF2I,0.98854041013269,
190,CHD3,0.9813027744270205,
191,MSH6,0.9867310012062727,
192,BCOR,0.97708082026538,
193,ARID5B,0.985524728588661,
194,CCND1,0.9957780458383595,
195,ACVR1,0.996984318455971,
196,PDS5B,0.9843184559710495,
197,DICER1,0.9849215922798552,
198,SIN3A,0.9867310012062727,
199,MYCN,0.9909529553679132,
200,ZFHX3,0.9662243667068757,
201,FOXA2,0.9933655006031363,
202,ATR,0.9806996381182147,
203,KMT2B,0.9716525934861279,
204,PIK3R2,0.9957780458383595,
205,TAF1,0.9722557297949337,
206,RPL22,0.9987937273823885,
207,PPP2R1A,0.9837153196622437,
208,ZMYM2,0.9897466827503015,
209,SCAF4,0.9831121833534379,
210,INPPL1,0.9849215922798552,
211,CTNND1,0.9891435464414958,
212,SOS1,0.98854041013269,
213,RRAS2,0.9957780458383595,
214,SOX17,0.9975874547647768,
215,ATF7IP,0.9849215922798552,
216,RFC1,0.9903498190591074,
217,BCL2L11,0.9957780458383595,
218,MAP3K4,0.9788902291917974,
219,ZBTB7B,0.9897466827503015,
220,PLCB4,0.9734620024125452,
221,GNAQ,0.991556091676719,
222,SRSF2,0.996984318455971,
223,CYSLTR2,0.9957780458383595,
