,gene_name,Accuracy,Mutation_frequency
0,TP53,0.7058823529411765,0.4138613861386139
1,EGFR,0.8823529411764706,0.05742574257425743
2,PIK3CA,0.9647058823529412,0.05742574257425743
3,PTEN,0.9176470588235294,0.033663366336633666
4,NF1,0.9647058823529412,0.031683168316831684
5,NOTCH1,0.9764705882352941,0.0297029702970297
6,FAT2,0.9647058823529412,0.023762376237623763
7,FAT4,0.9764705882352941,0.015841584158415842
8,PTPN11,0.9647058823529412,0.013861386138613863
9,PIK3R1,0.9764705882352941,0.013861386138613863
