,gene_name,Accuracy,Mutation_frequency
0,TP53,0.47058823529411764,0.6285714285714286
1,FAT3,0.8823529411764706,0.1346938775510204
2,NFE2L2,0.8352941176470589,0.1326530612244898
3,FAT1,0.9294117647058824,0.1163265306122449
4,CDKN2A,0.8588235294117647,0.11020408163265308
5,FAT4,0.8705882352941177,0.11020408163265306
6,KEAP1,0.8705882352941177,0.1020408163265306
7,PIK3CA,0.8823529411764706,0.0979591836734694
8,CRB1,0.8941176470588236,0.09183673469387756
9,DCHS2,0.8705882352941177,0.0836734693877551
