,gene_name,Accuracy,Mutation_frequency
0,TP53,0.5697674418604651,0.533596837944664
1,CDKN2A,0.8255813953488372,0.14031620553359686
2,FAT1,0.7906976744186046,0.1403162055335968
3,PIK3CA,0.8953488372093024,0.13043478260869565
4,NOTCH1,0.872093023255814,0.116600790513834
5,FAT3,0.9186046511627907,0.06521739130434781
6,FAT4,0.9302325581395349,0.06324110671936757
7,EP300,0.9418604651162791,0.06324110671936757
8,FBXW7,0.9651162790697675,0.05138339920948616
9,CREBBP,0.9883720930232558,0.05138339920948616
