,gene_name,Accuracy,Mutation_frequency
0,TP53,0.5116279069767442,0.533596837944664
1,CDKN2A,0.7906976744186046,0.14031620553359686
2,FAT1,0.7906976744186046,0.1403162055335968
3,PIK3CA,0.8837209302325582,0.13043478260869565
4,NOTCH1,0.8488372093023255,0.116600790513834
5,FAT3,0.9186046511627907,0.06521739130434781
6,FAT4,0.872093023255814,0.06324110671936757
7,EP300,0.7906976744186046,0.06324110671936757
8,FBXW7,0.9302325581395349,0.05138339920948616
9,CREBBP,0.9767441860465116,0.05138339920948616
