,gene_name,Accuracy,Mutation_frequency
0,TP53,0.6941176470588235,0.4138613861386139
1,EGFR,0.8705882352941177,0.05742574257425743
2,PIK3CA,0.9529411764705882,0.05742574257425743
3,PTEN,0.8941176470588236,0.033663366336633666
4,NF1,0.9411764705882353,0.031683168316831684
5,NOTCH1,0.9647058823529412,0.0297029702970297
6,FAT2,0.9411764705882353,0.023762376237623763
7,FAT4,0.9529411764705882,0.015841584158415842
8,PTPN11,0.9529411764705882,0.013861386138613863
9,PIK3R1,0.9882352941176471,0.013861386138613863
