cancer type,genes
ACC,TP53 CYSLTR2 PLCB4 BCL2L11 ATF7IP
BLCA,TP53 ARID1A ATM KMT2D FGFR3
BRCA,TP53 PIK3CA MAP3K1 CDH1 KMT2C
CESC,PIK3CA HUWE1 KMT2C EP300 FBXW7
CHOL,BAP1 CTNND1 FOXA2 ERBB2 ZFHX3
COAD,KRAS TP53 APC PIK3CA BRAF
DLBC,BTG2 PIM1 KMT2D TP53 CREBBP
ESCA,TP53 SMAD4 EEF2 SPTA1 HUWE1
GBM,PIK3CA TP53 PTEN SPTA1 EGFR
HNSC,TP53 FAT1 PIK3CA CDKN2A NOTCH1
KICH,MECOM TSC2 SETD2 TP53 KMT2D
KIRC,VHL MTOR PBRM1 KDM5C SETD2
KIRP,MET KMT2C CUL3 SMARCA4 NCOR1
LAML,ASXL1 CHD3 DDX3X DNMT3A IDH2
LGG,IDH1 TP53 ATRX PIK3CA CIC
LIHC,CTNNB1 HUWE1 AXIN1 ALB TP53
LUAD,SPTA1 APOB PTPRD KRAS TP53
LUSC,TP53 APOB SPTA1 KMT2D PIK3CA
MESO,LATS2 MAP3K4 TP53 INPPL1 ACVR1
OV,TP53 ATR ZNF133 NF1 SPTAN1
PAAD,GNAS CDKN2A FLNA KRAS TP53
PCPG,HRAS EPAS1 NF1 ATR RET
PRAD,TP53 MED12 SPTA1 ZMYM3 SPOP
READ,TP53 SMAD4 KRAS APC FBXW7
SARC,ATRX PLCG1 INPPL1 RB1 TP53
SKCM,NRAS BRAF APOB PLCB4 SPTA1
TGCT,MSH6 CUL3 GNAQ PPM1D KIT
THCA,BRAF PTPRD PLCB4 NRAS NIPBL
THYM,MAP3K4 EIF1AX HRAS GTF2I SIN3A
UCEC,PTEN PIK3CA ARID1A TP53 CHD4
UCS,TP53 FBXW7 MAP3K4 PIK3CA CHD4
UVM,GNAQ BAP1 GNA11 EIF1AX SF3B1
