C:\Users\23590\Anaconda3\python.exe C:/Users/23590/level4-project/template/src/individual-classification/classify_BRCA_BLCA.py
15     BLCA
16     BLCA
17     BLCA
18     BLCA
19     BLCA
       ... 
241    BRCA
242    BRCA
243    BRCA
244    BRCA
245    BRCA
Name: organ, Length: 924, dtype: object
15     BLCA
16     BLCA
17     BLCA
18     BLCA
19     BLCA
       ... 
241    BRCA
242    BRCA
243    BRCA
244    BRCA
245    BRCA
Name: organ, Length: 231, dtype: object
17     BLCA
18     BLCA
19     BLCA
20     BLCA
21     BLCA
       ... 
251    BRCA
252    BRCA
253    BRCA
254    BRCA
255    BRCA
Name: organ, Length: 239, dtype: object
(924, 49) (924, 2)
Epoch: 0, Loss: 0.21747, Train Accuracy: 0.88147, Test Accuracy: 0.95671, Best Test Accuracy: 0.95671
Epoch: 1, Loss: 0.17085, Train Accuracy: 0.96228, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 2, Loss: 0.14000, Train Accuracy: 0.96552, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 3, Loss: 0.11798, Train Accuracy: 0.96875, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 4, Loss: 0.10148, Train Accuracy: 0.96767, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 5, Loss: 0.08871, Train Accuracy: 0.96983, Test Accuracy: 0.96970, Best Test Accuracy: 0.97403
Epoch: 6, Loss: 0.07860, Train Accuracy: 0.97091, Test Accuracy: 0.96970, Best Test Accuracy: 0.97403
Epoch: 7, Loss: 0.07048, Train Accuracy: 0.97091, Test Accuracy: 0.96970, Best Test Accuracy: 0.97403
Epoch: 8, Loss: 0.06388, Train Accuracy: 0.97198, Test Accuracy: 0.96970, Best Test Accuracy: 0.97403
Epoch: 9, Loss: 0.05844, Train Accuracy: 0.97198, Test Accuracy: 0.96970, Best Test Accuracy: 0.97403
Epoch: 10, Loss: 0.05390, Train Accuracy: 0.97198, Test Accuracy: 0.96970, Best Test Accuracy: 0.97403
Epoch: 11, Loss: 0.05007, Train Accuracy: 0.97198, Test Accuracy: 0.96970, Best Test Accuracy: 0.97403
Epoch: 12, Loss: 0.04679, Train Accuracy: 0.97198, Test Accuracy: 0.96970, Best Test Accuracy: 0.97403
Epoch: 13, Loss: 0.04397, Train Accuracy: 0.97198, Test Accuracy: 0.96970, Best Test Accuracy: 0.97403
Epoch: 14, Loss: 0.04151, Train Accuracy: 0.97306, Test Accuracy: 0.96970, Best Test Accuracy: 0.97403
Epoch: 15, Loss: 0.03934, Train Accuracy: 0.97414, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 16, Loss: 0.03743, Train Accuracy: 0.97414, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 17, Loss: 0.03571, Train Accuracy: 0.97522, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 18, Loss: 0.03417, Train Accuracy: 0.97522, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 19, Loss: 0.03278, Train Accuracy: 0.97629, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 20, Loss: 0.03151, Train Accuracy: 0.97629, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 21, Loss: 0.03035, Train Accuracy: 0.97629, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 22, Loss: 0.02928, Train Accuracy: 0.97629, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 23, Loss: 0.02829, Train Accuracy: 0.97737, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 24, Loss: 0.02738, Train Accuracy: 0.97737, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 25, Loss: 0.02653, Train Accuracy: 0.97737, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 26, Loss: 0.02573, Train Accuracy: 0.97845, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 27, Loss: 0.02499, Train Accuracy: 0.97845, Test Accuracy: 0.97403, Best Test Accuracy: 0.97403
Epoch: 28, Loss: 0.02429, Train Accuracy: 0.97845, Test Accuracy: 0.97835, Best Test Accuracy: 0.97835
Epoch: 29, Loss: 0.02363, Train Accuracy: 0.97845, Test Accuracy: 0.97835, Best Test Accuracy: 0.97835
Epoch: 30, Loss: 0.02301, Train Accuracy: 0.97845, Test Accuracy: 0.97835, Best Test Accuracy: 0.97835
Epoch: 31, Loss: 0.02242, Train Accuracy: 0.97845, Test Accuracy: 0.97835, Best Test Accuracy: 0.97835
Epoch: 32, Loss: 0.02186, Train Accuracy: 0.98060, Test Accuracy: 0.97835, Best Test Accuracy: 0.97835
